,participant_id,ed_level,english,age,platform,img_pres,q_type,indv_q_score,knowledge,article_time,word_count,q_time,vis_q_consistency,question,article_title,question_id,article_id
0,13638377215795675505,high school,Upper-Intermediate,26.0,LabintheWild,True,non_vis,1.0,1.0,209.308,424.0,14.35,1.0,Who originally settled the area of Ingapirca?,Ingapirca,154,552
1,13638377215795675505,high school,Upper-Intermediate,26.0,LabintheWild,True,vis,0.0,1.0,209.308,424.0,16.788,1.0,The eucomis has foliage on top which makes it resemble a pineapple,Ingapirca,164,552
2,13638377215795675505,high school,Upper-Intermediate,26.0,LabintheWild,True,image,1.0,1.0,209.308,424.0,16.261,1.0,Which is Ingapirca?,Ingapirca,220,552
3,13638377215795675505,high school,Upper-Intermediate,26.0,LabintheWild,False,non_vis,1.0,2.0,118.364,582.0,,,When was the last recorded sighting of a South China tiger in the wild?,South China tiger,43,422
4,13638377215795675505,high school,Upper-Intermediate,26.0,LabintheWild,False,vis,1.0,2.0,118.364,582.0,,,,South China tiger,0,422
5,13638377215795675505,high school,Upper-Intermediate,26.0,LabintheWild,False,image,0.0,2.0,118.364,582.0,43.385,,Which is the South China tiger?,South China tiger,387,422
6,13638377215795675505,high school,Upper-Intermediate,26.0,LabintheWild,True,non_vis,0.0,1.0,97.949,199.0,11.603,,In which period does the eucomis flower? ,Eucomis,628,382
7,13638377215795675505,high school,Upper-Intermediate,26.0,LabintheWild,True,vis,1.0,1.0,97.949,199.0,6.307,,,Eucomis,0,382
8,13638377215795675505,high school,Upper-Intermediate,26.0,LabintheWild,True,image,1.0,1.0,97.949,199.0,6.129,,Which of these is an Eucomis?,Eucomis,127,382
9,10730459357379380244,college,Advanced,50.0,LabintheWild,True,non_vis,1.0,3.0,23.831,497.0,8.52,1.0,What is an industrial use of fluorite?,Fluorite,719,783
10,10730459357379380244,college,Advanced,50.0,LabintheWild,True,vis,1.0,3.0,23.831,497.0,7.85,1.0,What is the shape of boyoz?,Fluorite,431,783
11,10730459357379380244,college,Advanced,50.0,LabintheWild,True,image,0.0,3.0,23.831,497.0,18.452,1.0,Which is an example of fluorite?,Fluorite,567,783
12,10730459357379380244,college,Advanced,50.0,LabintheWild,False,non_vis,1.0,3.0,24.922,204.0,,,In which occasion was the Arc de Triompf built?,Arc de Triomf,156,491
13,10730459357379380244,college,Advanced,50.0,LabintheWild,False,vis,0.0,3.0,24.922,204.0,,,,Arc de Triomf,0,491
14,10730459357379380244,college,Advanced,50.0,LabintheWild,False,image,1.0,3.0,24.922,204.0,13.801,,Which of these is Barcelona's Arc de Triompf?,Arc de Triomf,786,491
15,10730459357379380244,college,Advanced,50.0,LabintheWild,True,non_vis,1.0,1.0,42.085,431.0,7.488,,What Turkish city is Boyoz associated with?,Boyoz,910,277
16,10730459357379380244,college,Advanced,50.0,LabintheWild,True,vis,1.0,1.0,42.085,431.0,7.946,,,Boyoz,0,277
17,10730459357379380244,college,Advanced,50.0,LabintheWild,True,image,1.0,1.0,42.085,431.0,16.335,,Which is boyoz?,Boyoz,385,277
18,11148428046701905899,college,Advanced,24.0,LabintheWild,True,non_vis,1.0,1.0,78.056,332.0,5.794,1.0,Ketupat is used in Bali for temple decorations.,Ketupat,46,792
19,11148428046701905899,college,Advanced,24.0,LabintheWild,True,vis,1.0,1.0,78.056,332.0,6.294,1.0,What are beignets served with at Café du Monde?,Ketupat,292,792
20,11148428046701905899,college,Advanced,24.0,LabintheWild,True,image,1.0,1.0,78.056,332.0,6.459,1.0,Which of these is a plate of Ketupat?,Ketupat,308,792
21,11148428046701905899,college,Advanced,24.0,LabintheWild,True,non_vis,0.0,1.0,146.934,793.0,,,Who was the Qutb Minar named after?,Qutb Minar,438,741
22,11148428046701905899,college,Advanced,24.0,LabintheWild,True,vis,1.0,1.0,146.934,793.0,,,,Qutb Minar,0,741
23,11148428046701905899,college,Advanced,24.0,LabintheWild,True,image,1.0,1.0,146.934,793.0,25.539,,Which is the Qutb Minar?,Qutb Minar,757,741
24,11148428046701905899,college,Advanced,24.0,LabintheWild,True,non_vis,1.0,1.0,63.951,274.0,6.759,,What special ingredient is added to the coffee at Café du Monde?,Cafe du Monde,700,165
25,11148428046701905899,college,Advanced,24.0,LabintheWild,True,vis,0.0,1.0,63.951,274.0,15.825,,,Cafe du Monde,0,165
26,11148428046701905899,college,Advanced,24.0,LabintheWild,True,image,1.0,1.0,63.951,274.0,8.32,,Which is a beignet from Cafe du Monde?,Cafe du Monde,201,165
27,13104503400335557873,college,Advanced,24.0,LabintheWild,False,non_vis,1.0,2.0,56.705,175.0,13.41,1.0,Where are erkes used?,Erke,31,236
28,13104503400335557873,college,Advanced,24.0,LabintheWild,False,vis,1.0,2.0,56.705,175.0,17.144,1.0,What aspect of the Virgin of El Panecillo is considered untraditional?,Erke,570,236
29,13104503400335557873,college,Advanced,24.0,LabintheWild,False,image,0.0,2.0,56.705,175.0,22.065,1.0,Which is an example of an erke?,Erke,915,236
30,13104503400335557873,college,Advanced,24.0,LabintheWild,True,non_vis,1.0,4.0,142.176,436.0,,,In what part of Spain are pinchos traditionally consumed?,Pincho,326,480
31,13104503400335557873,college,Advanced,24.0,LabintheWild,True,vis,1.0,4.0,142.176,436.0,,,,Pincho,0,480
32,13104503400335557873,college,Advanced,24.0,LabintheWild,True,image,1.0,4.0,142.176,436.0,15.939,,Which is a pincho?,Pincho,629,480
33,13104503400335557873,college,Advanced,24.0,LabintheWild,True,non_vis,0.0,5.0,66.004,327.0,13.75,,What religious order commissioned the building of the Virgin of El Panecillo?,El Panecillo,786,458
34,13104503400335557873,college,Advanced,24.0,LabintheWild,True,vis,0.0,5.0,66.004,327.0,19.935,,,El Panecillo,0,458
35,13104503400335557873,college,Advanced,24.0,LabintheWild,True,image,1.0,5.0,66.004,327.0,24.64,,Which is the Virgen of El Panecillo?,El Panecillo,395,458
36,11464462062293107139,postdoctoral,Advanced,40.0,LabintheWild,True,non_vis,1.0,1.0,31.715,332.0,8.697,0.0,Ketupat is used in Bali for temple decorations.,Ketupat,46,792
37,11464462062293107139,postdoctoral,Advanced,40.0,LabintheWild,True,vis,1.0,1.0,31.715,332.0,9.496,0.0,What is the name of the main river that flows into Victoria Falls?,Ketupat,956,792
38,11464462062293107139,postdoctoral,Advanced,40.0,LabintheWild,True,image,1.0,1.0,31.715,332.0,6.239,0.0,Which of these is a plate of Ketupat?,Ketupat,308,792
39,11464462062293107139,postdoctoral,Advanced,40.0,LabintheWild,True,non_vis,1.0,1.0,52.18,337.0,,,Where can the leafy seadragon be found?,Leafy seadragon,724,230
40,11464462062293107139,postdoctoral,Advanced,40.0,LabintheWild,True,vis,0.0,1.0,52.18,337.0,,,,Leafy seadragon,0,230
